number,partner,compliance,alternative,signature,alternative_other_MLI,comments,iso3c,year,minimum_standard,type,inc_frame_member
1,France,No,NA,Yes,NA,,AND,2018,NA,NA,yes
2,Liechtenstein,No,NA,Yes,NA,,AND,2018,NA,NA,yes
3,Luxembourg,No,NA,Yes,NA,,AND,2018,NA,NA,yes
4,Malta,No,NA,Yes,NA,,AND,2018,NA,NA,yes
5,Portugal,No,NA,Yes,NA,,AND,2018,NA,NA,yes
6,Spain,No,NA,Yes,NA,,AND,2018,NA,NA,yes
7,United Arab Emirates,No,NA,Yes,NA,,AND,2018,NA,NA,yes
1,Switzerland,No,NA,No,NA,,AIA,2018,NA,NA,yes
1,Australia,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
2,Belgium,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
3,Bolivia*,No,NA,No,NA,,ARG,2018,NA,NA,no
4,Brazil,No,NA,Yes,PPT and LOB,,ARG,2018,PPT and LOB,NA,yes
5,Canada,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
6,Chile,Yes,PPT and LOB,N/A,NA,,ARG,2018,PPT and LOB,NA,yes
7,Denmark,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
8,Finland,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
9,France,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
10,Germany,No,NA,No,NA,,ARG,2018,NA,NA,yes
11,Italy,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
12,Mexico,Yes,PPT and LOB,N/A,NA,,ARG,2018,PPT and LOB,NA,yes
13,Netherlands,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
14,Norway,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
15,Russia,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
16,Spain,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
17,Sweden,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
18,Switzerland,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
19,United Kingdom,No,NA,Yes,NA,,ARG,2018,NA,NA,yes
1,Argentina,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
2,Austria,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
3,Belgium,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
4,Canada,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
5,Chile,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
6,China (People's Republic of),No,NA,Yes,NA,,AUS,2018,NA,NA,yes
7,Chinese Taipei*,No,NA,No,NA,,AUS,2018,NA,NA,no
8,Czech Republic,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
9,Denmark,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
10,Fiji*,No,NA,Yes,NA,,AUS,2018,NA,NA,no
11,Finland,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
12,France,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
13,Germany,Yes,PPT alone,N/A,NA,,AUS,2018,PPT alone,NA,yes
14,Hungary,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
15,India,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
16,Indonesia,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
17,Ireland,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
18,Italy,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
19,Japan,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
20,Kiribati*,No,NA,Yes,NA,,AUS,2018,NA,NA,no
21,Korea,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
22,Malaysia,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
23,Malta,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
24,Mexico,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
25,Netherlands,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
26,New Zealand,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
27,Norway,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
28,Papua New Guinea,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
29,Philippines*,No,NA,Yes,NA,,AUS,2018,NA,NA,no
30,Poland,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
31,Romania,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
32,Russia,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
33,Singapore,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
34,Slovak Republic,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
35,South Africa,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
36,Spain,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
37,Sri Lanka,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
38,Sweden,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
39,Switzerland,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
40,Thailand,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
41,Turkey,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
42,United Kingdom,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
43,United States,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
44,Viet Nam,No,NA,Yes,NA,,AUS,2018,NA,NA,yes
1,Albania*,No,NA,No,NA,,AUT,2018,NA,NA,no
2,Algeria*,No,NA,No,NA,,AUT,2018,NA,NA,no
3,Armenia*,No,NA,No,NA,,AUT,2018,NA,NA,no
4,Australia,No,NA,No,NA,,AUT,2018,NA,NA,yes
5,Azerbaijan*,No,NA,No,,,AUT,2018,,NA,no
6,Bahrain,No,NA,No,NA,,AUT,2018,NA,NA,yes
7,Barbados,No,NA,No,,,AUT,2018,,NA,yes
8,Belarus*,No,NA,No,NA,,AUT,2018,NA,NA,no
9,Belgium,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
10,Belize,No,NA,No,NA,,AUT,2018,NA,NA,yes
11,Bosnia and Herzegovina*,No,NA,No,NA,,AUT,2018,NA,NA,no
12,Brazil,No,NA,No,NA,,AUT,2018,NA,NA,yes
