text,iso3c,year
No jurisdiction has raised any concerns about their agreements with Andorra.,AND,2018
No jurisdiction has raised any concerns about Angola.,AGO,2018
No jurisdiction has raised any concerns with Anguilla.,AIA,2018
No jurisdiction has raised any concerns about their agreements with Argentina.,ARG,2018
No jurisdiction has raised any concerns about their agreements with Australia.,AUS,2018
No jurisdiction has raised any concerns about their agreements with Austria.,AUT,2018
No jurisdiction has raised any concerns about the Bahamas.,BHS,2018
No jurisdiction has raised any concerns about their agreements with Bahrain.,BHR,2018
No jurisdiction has raised any concerns about their agreements with Barbados.,BRB,2018
No jurisdiction has raised any concerns about their agreements with Belgium.,BEL,2018
No jurisdiction has raised any concerns about their agreements with Belize.,BLZ,2018
3. No jurisdiction has raised any concerns about their agreements with Benin.,BEN,2018
No jurisdiction has raised any concerns about their agreements with Bermuda.,BMU,2018
No jurisdiction has raised any concerns about their agreements with Botswana. Botswana has indicated in its response to the questionnaire that it will seek assistance from the Secretariat to work towards its signature of the MLI.,BWA,2018
No jurisdiction has raised any concerns about their agreements with Brazil.,BRA,2018
No jurisdiction has raised any concerns about the British Virgin Islands.,VGB,2018
No jurisdiction has raised any concerns about their agreements with Brunei Darussalam.,BRN,2018
No jurisdiction has raised any concerns about their agreements with Bulgaria.,BGR,2018
B. Implementation issues No jurisdiction has raised any concerns about their agreements with Burkina Faso.,BFA,2018
No jurisdiction has raised any concerns about their agreements with Cameroon.,CMR,2018
No jurisdiction has raised any concerns about their agreements with Canada.,CAN,2018
No jurisdiction has raised any concerns about the Cayman Islands.,CYM,2018
No jurisdiction has raised any concerns about their agreements with Chile.,CHL,2018
No jurisdiction has raised any concerns about their agreements with China.,CHN,2018
No jurisdiction has raised any concerns about their agreements with Colombia.,COL,2018
No jurisdiction has raised any concerns about their agreements with Congo.,COG,2018
No jurisdiction has raised any concerns about their agreements with Costa Rica.,CRI,2018
The agreement with Switzerland has not been listed under the MLI as Côte d’Ivoire and Switzerland disagree on the way the MLI modifies their agreement. No jurisdiction has raised any concerns about their agreements with Côte d'Ivoire.,CIV,2018
No jurisdiction has raised any concerns about their agreements with Croatia.,HRV,2018
No jurisdiction has raised any concerns about their agreements with Curacao.,CUW,2018
No jurisdiction has raised any concerns about their agreements with the Czech Republic.,CZE,2018
No jurisdiction has raised any concerns about their agreements with the Democratic Republic of the Congo.,COD,2018
No jurisdiction has raised any concerns about their agreements with Denmark.,DNK,2018
No jurisdiction has raised any concerns about Djibouti.,DJI,2018
No jurisdiction has raised any concerns about their agreements with Egypt.,EGY,2018
No jurisdiction has raised any concerns about their agreements with Estonia.,EST,2018
No jurisdiction has raised any concerns about their agreements with Finland.,FIN,2018
No jurisdiction has raised any concerns about their agreements with France.,FRA,2018
No jurisdiction has raised any concerns about their agreements with Gabon.,GAB,2018
No jurisdiction has raised any concerns about their agreements with Georgia.,GEO,2018
No jurisdiction has raised any concerns about their agreements with Germany.,DEU,2018
No jurisdiction has raised any concerns about their agreements with Greece.,GRC,2018
No jurisdiction has raised any concerns about their agreements with Guernsey.,GGY,2018
No jurisdiction has raised any concerns about Haiti.,HTI,2018
No jurisdiction has raised any concerns about their agreements with Hong Kong.,HKG,2018
No jurisdiction has raised any concerns about their agreements with Hungary.,HUN,2018
No jurisdiction has raised any concerns about their agreements with Iceland.,ISL,2018
No jurisdiction has raised any concerns about their agreements with India.,IND,2018
No jurisdiction has raised any concerns about their agreements with Indonesia.,IDN,2018
No jurisdiction has raised any concerns about their agreements with Ireland.,IRL,2018
No jurisdiction has raised any concerns about their agreements with the Isle of Man.,IMN,2018
No jurisdiction has raised any concerns about their agreements with Israel.,ISR,2018
