host,home,year,category,anti_avoidance_rule,appl_max,conduit,min_rate_max,rate_shopping,min_rate_max_no_aa,rate_shopping_no_aa,min_available,min_available_no_aa,rate_weighted_mean,advantage_over_rest,equally_more_advantageous_conduit_exists,treaty_in_place
COL,ESP,2004,dividends_subst,NA,7,1,7,0,7,0,7,7,7,0,1,0
COL,ESP,2004,interest_general,NA,39.55,0,39.55,0,39.55,0,39.55,39.55,39.55,0,0,0
COL,ESP,2004,land_rich,NA,35,1,35,0,35,0,35,35,35,0,1,0
COL,ESP,2004,royalties_general,NA,39.55,0,39.55,0,39.55,0,39.55,39.55,39.55,0,0,0
COL,ESP,2004,shares,NA,35,1,35,0,35,0,35,35,35,0,1,0
COL,ESP,2004,technical_services,NA,10,1,10,0,10,0,10,10,10,0,1,0
COL,ESP,2005,dividends_subst,NA,7,1,7,0,7,0,7,7,7,0,1,0
COL,ESP,2005,interest_general,NA,0,0,0,0,0,0,0,0,0,0,0,0
COL,ESP,2005,land_rich,NA,35,1,35,0,35,0,35,35,35,0,1,0
COL,ESP,2005,royalties_general,NA,39.55,0,39.55,0,39.55,0,39.55,39.55,39.55,0,0,0
COL,ESP,2005,shares,NA,35,1,35,0,35,0,35,35,35,0,1,0
COL,ESP,2005,technical_services,NA,10,1,10,0,10,0,10,10,10,0,1,0
COL,ESP,2006,dividends_subst,NA,7,1,7,0,7,0,7,7,7,0,1,0
COL,ESP,2006,interest_general,NA,0,0,0,0,0,0,0,0,0,0,0,0
COL,ESP,2006,land_rich,NA,35,1,35,0,35,0,35,35,35,0,1,0
COL,ESP,2006,royalties_general,NA,39.55,0,39.55,0,39.55,0,39.55,39.55,39.55,0,0,0
COL,ESP,2006,shares,NA,35,1,35,0,35,0,35,35,35,0,1,0
COL,ESP,2006,technical_services,NA,10,1,10,0,10,0,10,10,10,0,1,0
COL,ESP,2007,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,0
COL,ESP,2007,interest_general,NA,0,0,0,0,0,0,0,0,0,0,0,0
COL,ESP,2007,land_rich,NA,34,1,34,0,34,0,34,34,34,0,1,0
COL,ESP,2007,royalties_general,NA,34,0,34,0,34,0,34,34,34,0,0,0
COL,ESP,2007,shares,NA,34,1,34,0,34,0,34,34,34,0,1,0
COL,ESP,2007,technical_services,NA,10,1,10,0,10,0,10,10,10,0,1,0
COL,ESP,2008,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
COL,ESP,2008,interest_general,NA,0,0,0,0,0,0,0,0,0,0,0,1
COL,ESP,2008,land_rich,NA,33,1,33,0,33,0,33,33,33,0,1,1
COL,ESP,2008,royalties_general,NA,10,0,33,0,33,0,10,10,32.678719868384114,22.678719868384114,0,1
COL,ESP,2008,shares,NA,0,1,0,0,0,0,0,0,32.53903285463808,32.53903285463808,0,1
COL,ESP,2008,technical_services,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2009,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
COL,ESP,2009,interest_general,NA,0,0,0,0,0,0,0,0,0,0,0,1
COL,ESP,2009,land_rich,NA,33,1,33,0,33,0,33,33,33,0,1,1
COL,ESP,2009,royalties_general,NA,10,0,33,0,33,0,10,10,32.678719868384114,22.678719868384114,0,1
COL,ESP,2009,shares,NA,0,1,0,0,0,0,0,0,32.53903285463808,32.53903285463808,0,1
COL,ESP,2009,technical_services,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2010,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
COL,ESP,2010,interest_general,NA,10,0,15,0,15,0,10,10,32.59762290300735,22.59762290300735,0,1
COL,ESP,2010,land_rich,NA,33,1,33,0,33,0,33,33,33,0,1,1
COL,ESP,2010,royalties_general,NA,10,0,10,0,10,0,10,10,32.57509596818047,22.57509596818047,0,1
COL,ESP,2010,shares,NA,0,1,0,0,0,0,0,0,32.53903285463808,32.53903285463808,0,1
COL,ESP,2010,technical_services,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2011,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
COL,ESP,2011,interest_general,NA,10,0,15,0,15,0,10,10,32.59762290300735,22.59762290300735,0,1
COL,ESP,2011,land_rich,NA,33,1,33,0,33,0,33,33,33,0,1,1
COL,ESP,2011,royalties_general,NA,10,0,10,0,10,0,10,10,32.57509596818047,22.57509596818047,0,1
COL,ESP,2011,shares,NA,0,1,0,0,0,0,0,0,32.53903285463808,32.53903285463808,0,1
COL,ESP,2011,technical_services,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2012,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
COL,ESP,2012,interest_general,NA,10,0,15,0,15,0,10,10,31.876801750107703,21.876801750107703,0,1
COL,ESP,2012,land_rich,NA,33,1,33,0,33,0,33,33,33,0,1,1
COL,ESP,2012,royalties_general,NA,10,0,10,0,10,0,10,10,31.854274815280824,21.854274815280824,0,1
COL,ESP,2012,shares,NA,0,1,0,0,0,0,0,0,32.08590200561265,32.08590200561265,1,1
COL,ESP,2012,technical_services,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2013,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
COL,ESP,2013,interest_general,NA,10,0,15,0,15,0,10,10,31.631632532648766,21.631632532648766,0,1
COL,ESP,2013,land_rich,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2013,royalties_general,NA,10,0,10,0,10,0,10,10,31.609105597821884,21.609105597821884,0,1
COL,ESP,2013,shares,NA,0,1,0,0,0,0,0,0,9.72300060776141,9.72300060776141,1,1
COL,ESP,2013,technical_services,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2014,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
COL,ESP,2014,interest_general,NA,10,0,15,0,15,0,10,10,31.31568841766488,21.31568841766488,0,1
COL,ESP,2014,land_rich,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2014,royalties_general,NA,10,0,10,0,10,0,10,10,31.293161482838002,21.293161482838002,0,1
COL,ESP,2014,shares,NA,0,1,0,0,0,0,0,0,9.72300060776141,9.72300060776141,1,1
COL,ESP,2014,technical_services,NA,10,1,10,0,10,0,10,10,10,0,1,1
COL,ESP,2015,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
COL,ESP,2015,interest_general,NA,10,0,15,0,15,0,10,10,31.025444806510283,21.025444806510283,0,1
COL,ESP,2015,land_rich,NA,10,1,10,0,10,0,10,10,10,0,1,1
