iso3c,issue,2018,2019,2020,2021,2022
ABW,imposition_required,not_assessed,non_compliance,non_compliance,compliance,compliance
ABW,secondary_missing,not_assessed,law_not_in_place,law_not_in_place,compliance,compliance
ABW,local_filing,not_assessed,law_not_in_place,law_not_in_place,non_compliance,compliance
ABW,definition,not_assessed,law_not_in_place,law_not_in_place,compliance,compliance
ABW,revenue_threshold,not_assessed,law_not_in_place,law_not_in_place,non_compliance,non_compliance
ABW,enforcement_measures,not_assessed,law_not_in_place,law_not_in_place,compliance,compliance
ABW,exemption,not_assessed,law_not_in_place,law_not_in_place,compliance,compliance
ABW,timing,not_assessed,law_not_in_place,law_not_in_place,compliance,compliance
AGO,imposition_required,non_compliance,non_compliance,non_compliance,non_compliance,non_compliance
AGO,secondary_missing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
AGO,local_filing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
AGO,definition,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
AGO,revenue_threshold,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
AGO,enforcement_measures,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
AGO,exemption,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
AGO,timing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
AIA,imposition_required,not_assessed,compliance,compliance,compliance,compliance
AIA,secondary_missing,not_assessed,compliance,compliance,compliance,compliance
AIA,local_filing,not_assessed,compliance,compliance,compliance,compliance
AIA,definition,not_assessed,compliance,compliance,compliance,compliance
AIA,revenue_threshold,not_assessed,compliance,compliance,compliance,compliance
AIA,enforcement_measures,not_assessed,compliance,compliance,compliance,compliance
AIA,exemption,not_assessed,compliance,compliance,compliance,compliance
AIA,timing,not_assessed,compliance,compliance,compliance,compliance
AND,imposition_required,non_compliance,compliance,compliance,compliance,compliance
AND,secondary_missing,law_not_in_place,compliance,compliance,compliance,compliance
AND,local_filing,law_not_in_place,compliance,compliance,compliance,compliance
AND,definition,law_not_in_place,compliance,compliance,compliance,compliance
AND,revenue_threshold,law_not_in_place,compliance,compliance,compliance,compliance
AND,enforcement_measures,law_not_in_place,compliance,compliance,compliance,compliance
AND,exemption,law_not_in_place,compliance,compliance,compliance,compliance
AND,timing,law_not_in_place,compliance,compliance,compliance,compliance
ARE,imposition_required,not_assessed,non_compliance,compliance,compliance,compliance
ARE,secondary_missing,not_assessed,law_not_in_place,compliance,compliance,compliance
ARE,local_filing,not_assessed,law_not_in_place,compliance,compliance,compliance
ARE,definition,not_assessed,law_not_in_place,compliance,compliance,compliance
ARE,revenue_threshold,not_assessed,law_not_in_place,compliance,compliance,compliance
ARE,enforcement_measures,not_assessed,law_not_in_place,compliance,compliance,compliance
ARE,exemption,not_assessed,law_not_in_place,compliance,compliance,compliance
ARE,timing,not_assessed,law_not_in_place,compliance,compliance,compliance
ARG,imposition_required,compliance,compliance,compliance,compliance,compliance
