part,name,text,iso3c,phase
Part A,Domestic legal and administrative,It is recommended that Andorra implement its legislation for CbC filing requirements as soon as possible. filing requirements is not yet implemented.,AND,2018
Part B,Exchange of information,"It is recommended that Andorra sign the CbC MCAA and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",AND,2018
Part C,Appropriate use,It is recommended that Andorra take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,AND,2018
Part A,Domestic legal and administrative,"It is recommended that Angola finalise its domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible, taking into account its particular domestic legislative process.",AGO,2018
Part B,Exchange of information,"It is recommended that Angola sign the Convention and the CbC MCAA and also take steps to have Qualifying Competent Authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, consistency and appropriate use conditions.",AGO,2018
Part C,Appropriate use,It is recommended that Angola take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,AGO,2018
Part A,Domestic legal and administrative,-,ARG,2018
Part B,Exchange of information,-,ARG,2018
Part C,Appropriate use,Argentina is recommended to take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,ARG,2018
Part A,Domestic legal and,"It is recommended that Australia amend its rules or otherwise ensures that its administrative practice operates in a way whereby local filing is only required in the circumstances contained in the terms of reference. obligation, conditions to require local filing",AUS,2018
Part B,Exchange of information,-,AUS,2018
Part C,-,-,AUS,2018
Part A,Domestic legal and administrative framework -,It is recommended that Austria amend or otherwise clarify the definition of an MNE Group to include the situation of an enterprise that is resident for tax purposes in one jurisdiction and is subject to tax with respect to the business carried out through a permanent establishment in another jurisdiction.,AUT,2018
Part B,Exchange of information framework,-,AUT,2018
Part C,Appropriate use,-,AUT,2018
Part A,Domestic legal and administrative,"It is recommended that Barbados finalise its domestic legal and administrative framework in relation to CbC requirements as soon as possible, taking into account its particular domestic legislative process.",BRB,2018
Part B,Exchange of information,"It is recommended that Barbados take steps to sign the CbC MCAA and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",BRB,2018
Part C,Appropriate use,It is recommended that Barbados take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,BRB,2018
Part A,Domestic legal and administrative,-,BEL,2018
Part B,Exchange of information,-,BEL,2018
Part C,Appropriate use,-,BEL,2018
Part A,Domestic legal and administrative,"It is recommended that Belize finalise its domestic legal and administrative framework in relation to CbC requirements as soon as possible, taking into account its particular domestic legislative process.",BLZ,2018
Part B,Exchange of information,"It is recommended that Belize take steps to have Qualifying Competent Authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, appropriate use and consistency conditions.",BLZ,2018
Part C,Appropriate use,It is recommended that Belize take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,BLZ,2018
Part A,Domestic legal and administrative,"It is recommended that Benin finalise its domestic legal and administrative framework in relation to CbC requirements as soon as possible, taking into account its particular domestic legislative process.",BEN,2018
Part B,Exchange of information,"It is recommended that Benin take steps to put in place an exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",BEN,2018
Part C,Appropriate use,It is recommended that Benin take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,BEN,2018
Part A,Domestic legal and administrative,-,BMU,2018
Part B,Exchange of information,-,BMU,2018
Part C,Appropriate use,Not applicable.,BMU,2018
Part A,Domestic legal and administrative,"The operation of the annual consolidated group revenue threshold calculation rule will be further monitored, including by Brazil. It is recommended that if the operation of the rule becomes an issue, Brazil will at that time take steps to ensure that it applies in a manner consistent with the OECD guidance on currency fluctuations.",BRA,2018
Part B,Exchange of information,-,BRA,2018
Part C,Appropriate use,-,BRA,2018
Part A,Domestic legal and administrative,"It is recommended that the British Virgin Islands take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible, taking into account its particular domestic legislative process.",VGB,2018
Part B,Exchange of information,"It is recommended that the British Virgin Islands take steps to sign the CbC MCAA and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",VGB,2018
Part C,Appropriate use,Not applicable.,VGB,2018
