home,country,host,year,direction,type,cdis,oecd,comparison,value
MUS,Mauritius,IND,1994,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,1995,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,1996,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,1997,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,1998,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,1999,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,2000,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,2001,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,2002,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,2003,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,2004,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,2005,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,2006,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,2007,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,2008,outward,total,NA,NA,NA,NA
MUS,Mauritius,IND,2009,outward,total,16.5,NA,NA,16.5
MUS,Mauritius,IND,2010,outward,total,51.9,NA,NA,51.9
MUS,Mauritius,IND,2011,outward,total,156208,NA,NA,156208
MUS,Mauritius,IND,2012,outward,total,105603.81,NA,NA,105603.81
MUS,Mauritius,IND,2013,outward,total,109155.37,NA,NA,109155.37
MUS,Mauritius,IND,2014,outward,total,108307.854397966,NA,NA,108307.854397966
MUS,Mauritius,IND,2015,outward,total,100224.621142588,NA,NA,100224.621142588
MUS,Mauritius,IND,2016,outward,total,101688.6,NA,NA,101688.6
MUS,Mauritius,IND,2017,outward,total,99797.8,NA,NA,99797.8
MUS,Mauritius,IND,2018,outward,total,120975,NA,NA,120975
MUS,Mauritius,IND,2019,outward,total,119516.46344135699,NA,NA,119516.46344135699
MUS,Mauritius,IND,2020,outward,total,121255.249224072,NA,NA,121255.249224072
MUS,Mauritius,IND,2021,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,1994,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,1995,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,1996,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,1997,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,1998,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,1999,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,2000,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,2001,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,2002,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,2003,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,2004,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,2005,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,2006,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,2007,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,2008,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,2009,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,2010,outward,total,NA,NA,NA,NA
MUS,Mauritius,SEN,2011,outward,total,87,NA,NA,87
MUS,Mauritius,SEN,2012,outward,total,754.44,NA,NA,754.44
MUS,Mauritius,SEN,2013,outward,total,140.84,NA,NA,140.84
MUS,Mauritius,SEN,2014,outward,total,150.254811467987,NA,NA,150.254811467987
MUS,Mauritius,SEN,2015,outward,total,244,NA,NA,244
MUS,Mauritius,SEN,2016,outward,total,423.2,NA,NA,423.2
MUS,Mauritius,SEN,2017,outward,total,596.4,NA,NA,596.4
MUS,Mauritius,SEN,2018,outward,total,497,NA,NA,497
MUS,Mauritius,SEN,2019,outward,total,636,NA,NA,636
MUS,Mauritius,SEN,2020,outward,total,681,NA,NA,681
MUS,Mauritius,SEN,2021,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,1994,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,1995,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,1996,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,1997,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,1998,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,1999,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,2000,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,2001,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,2002,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,2003,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,2004,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,2005,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,2006,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,2007,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,2008,outward,total,NA,NA,NA,NA
NLD,Netherlands,NGA,2009,outward,total,16098.398152200001,NA,NA,16098.398152200001
NLD,Netherlands,NGA,2010,outward,total,15217.1159424,NA,NA,15217.1159424
NLD,Netherlands,NGA,2011,outward,total,18081.6456609,NA,NA,18081.6456609
NLD,Netherlands,NGA,2012,outward,total,19919.6415,NA,NA,19919.6415
NLD,Netherlands,NGA,2013,outward,total,24985.29261,24985.519238726,-9.0704028935198e-6,24985.519238726
NLD,Netherlands,NGA,2014,outward,total,28612.81611,29080.123185451,-0.01606963878628953,29080.123185451
NLD,Netherlands,NGA,2015,outward,total,38040.2667,38041.371801851,-2.905000000402837e-5,38041.371801851
NLD,Netherlands,NGA,2016,outward,total,25421.7297,25421.1025614,2.466999999256619e-5,25421.1025614
NLD,Netherlands,NGA,2017,outward,total,25078.5623,25079.155672823,-2.3659999991167497e-5,25079.155672823
NLD,Netherlands,NGA,2018,outward,total,24144.615,24143.576826196,4.3000000019673514e-5,24143.576826196
NLD,Netherlands,NGA,2019,outward,total,19153.97,19152.999325994,5.0680000008428645e-5,19152.999325994
NLD,Netherlands,NGA,2020,outward,total,17738.9576,17739.599950914,-3.620999998727047e-5,17739.599950914
NLD,Netherlands,NGA,2021,outward,total,NA,NA,NA,NA
ESP,Spain,COL,1994,outward,total,NA,NA,NA,NA
ESP,Spain,COL,1995,outward,total,NA,NA,NA,NA
ESP,Spain,COL,1996,outward,total,NA,NA,NA,NA
ESP,Spain,COL,1997,outward,total,NA,NA,NA,NA
ESP,Spain,COL,1998,outward,total,NA,NA,NA,NA
ESP,Spain,COL,1999,outward,total,NA,NA,NA,NA
ESP,Spain,COL,2000,outward,total,NA,NA,NA,NA
ESP,Spain,COL,2001,outward,total,NA,NA,NA,NA
ESP,Spain,COL,2002,outward,total,NA,NA,NA,NA
ESP,Spain,COL,2003,outward,total,NA,NA,NA,NA
ESP,Spain,COL,2004,outward,total,NA,NA,NA,NA
ESP,Spain,COL,2005,outward,total,NA,NA,NA,NA
ESP,Spain,COL,2006,outward,total,NA,NA,NA,NA
ESP,Spain,COL,2007,outward,total,NA,NA,NA,NA
ESP,Spain,COL,2008,outward,total,NA,NA,NA,NA
ESP,Spain,COL,2009,outward,total,6843.3153800676,NA,NA,6843.3153800676
ESP,Spain,COL,2010,outward,total,7237.742394795,NA,NA,7237.742394795
ESP,Spain,COL,2011,outward,total,8244.5832941061,NA,NA,8244.5832941061
