type_fdi,host,home,year,value_eurostat,indicator,value_oecd,value_spain,value_mauritius,treaty_in_place,anti_avoidance_rule,conduit,advantage_over_rest_dividends_subst,advantage_over_rest_interest_general,advantage_over_rest_land_rich,advantage_over_rest_shares,equally_more_advantageous_conduit_exists_dividends_subst,equally_more_advantageous_conduit_exists_interest_general,equally_more_advantageous_conduit_exists_land_rich,equally_more_advantageous_conduit_exists_shares,total_inward_stock,value_mauritius_share,value_spain_share,value_eurostat_share,value_oecd_share,modern_anti_avoidance,any_anti_avoidance,anti_avoidance_force,value_all,value_all_share,any_advantage
total,ARG,AUT,2020,NA,million_USD,NA,NA,NA,0,NA,0,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,NA,NA,0,0,0,NA,NA,0
total,ARG,BEL,2020,71.95838749249006,million_USD,77.310099398699,NA,NA,1,NA,1,18.594177955285353,17.348951030276094,-0.6458839110076653,-0.4791205437717067,1,1,1,1,85451.053,NA,NA,8.421006525512338e-4,9.047296280678835e-4,0,0,0,71.95838749249006,8.421006525512338e-4,1
total,ARG,BGR,2020,0,million_USD,NA,NA,NA,0,NA,0,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0,NA,0,0,0,0,0,0
total,ARG,CYP,2020,NA,million_USD,NA,NA,NA,0,NA,1,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,1,1,1,1,85451.053,NA,NA,NA,NA,0,0,0,NA,NA,0
total,ARG,CZE,2020,0,million_USD,NA,NA,NA,0,NA,0,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0,NA,0,0,0,0,0,0
total,ARG,DEU,2020,0,million_USD,NA,NA,NA,1,NA,0,13.594177955285351,14.348951030276094,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0,NA,0,0,0,0,0,1
total,ARG,DNK,2020,226.61181077000043,million_USD,NA,NA,NA,1,NA,0,18.594177955285353,17.348951030276094,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0.002651948721685155,NA,0,0,0,226.61181077000043,0.002651948721685155,1
total,ARG,EST,2020,0,million_USD,0,NA,NA,0,NA,0,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0,0,0,0,0,0,0,0
total,ARG,ESP,2020,704.7353187756565,million_USD,757.14811633329,NA,NA,1,PARTIAL,1,18.594177955285353,17.348951030276094,-0.6458839110076653,-0.4791205437717067,1,1,1,1,85451.053,NA,NA,0.00824723972419224,0.008860606039966412,0,1,0.5,704.7353187756565,0.00824723972419224,1
total,ARG,FIN,2020,0,million_USD,NA,NA,NA,1,NA,0,18.594177955285353,14.348951030276094,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0,NA,0,0,0,0,0,1
total,ARG,HRV,2020,0,million_USD,NA,NA,NA,0,NA,0,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0,NA,0,0,0,0,0,0
total,ARG,HUN,2020,0,million_USD,0,NA,NA,0,NA,0,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0,0,0,0,0,0,0,0
total,ARG,LTU,2020,0,million_USD,NA,NA,NA,0,NA,0,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0,NA,0,0,0,0,0,0
total,ARG,LUX,2020,2030.8256025658304,million_USD,2181.8628052522,NA,NA,0,NA,1,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,1,1,1,1,85451.053,NA,NA,0.02376595174977926,0.025533480614360598,0,0,0,2030.8256025658304,0.02376595174977926,0
total,ARG,LVA,2020,0,million_USD,NA,NA,NA,0,NA,0,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0,NA,0,0,0,0,0,0
total,ARG,MLT,2020,NA,million_USD,NA,NA,NA,0,NA,1,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,1,1,1,1,85451.053,NA,NA,NA,NA,0,0,0,NA,NA,0
total,ARG,NLD,2020,6560.77742471211,million_USD,7048.7176340655,NA,NA,1,NA,1,18.594177955285353,17.348951030276094,-0.6458839110076653,-0.4791205437717067,1,1,1,1,85451.053,NA,NA,0.07677819282943313,0.08248836481939549,0,0,0,6560.77742471211,0.07677819282943313,1
total,ARG,POL,2020,0,million_USD,NA,NA,NA,0,NA,0,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0,NA,0,0,0,0,0,0
total,ARG,PRT,2020,0,million_USD,0,NA,NA,0,NA,0,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0,0,0,0,0,0,0,0
total,ARG,ROU,2020,0,million_USD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85451.053,NA,NA,0,NA,0,0,0,0,0,NA
total,ARG,SWE,2020,NA,million_USD,NA,NA,NA,1,NA,0,18.594177955285353,16.848951030276094,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,NA,NA,0,0,0,NA,NA,1
total,ARG,SVN,2020,0,million_USD,NA,NA,NA,0,NA,0,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0,NA,0,0,0,0,0,0
total,ARG,SVK,2020,0,million_USD,NA,NA,NA,0,NA,0,-6.405822044714647,-5.651048969723906,-0.6458839110076653,-0.4791205437717067,0,0,0,0,85451.053,NA,NA,0,NA,0,0,0,0,0,0
total,BRA,AUT,2020,NA,million_USD,NA,NA,NA,1,NA,0,0,-0.15189992335668023,-1.9107529212320244,-1.9107529212320244,0,0,0,0,608085.718,NA,NA,NA,NA,0,0,0,NA,NA,0
total,BRA,BEL,2020,528.8370382384587,million_USD,568.16787335869,NA,NA,1,NA,1,0,4.84810007664332,20.589247078767976,20.589247078767976,1,0,0,0,608085.718,NA,NA,8.696751503682886e-4,9.343549051396896e-4,0,0,0,528.8370382384587,8.696751503682886e-4,1
