response,detailed_explanation,links,new_row,iso3c,date,year,short_codes,taxpayer_friendly_answers,action_14,action_14_numbers,category,comb_rate,number_treaties,taxpayer_friendliness
yes,"Agreements reached by the competent authority to resolve difficulties or doubts arising as to the interpretation or application of our tax treaties should be published as circulars in the same way as other circulars in which the Andorra tax administration publishes its understanding of domestic tax law. So far, Andorra has only published binding consultations related to the interpretation or application of the tax treaties but no technical communiqués or specific agreements have been made/published.","https://www.impostos.ad/comunic
ats-tecnics-i-consultes-vinculants",1,AND,2018-05-22,2018,publication_map_general_nature,,bp,[B.P.2],preventing_disputes,10,9,1
no,-,-,2,AND,2018-05-22,2018,bil_apa_available,,bp,[B.P.1],preventing_disputes,10,9,0
n/a,-,-,3,AND,2018-05-22,2018,bil_apa_roll_back,,NA,NA,preventing_disputes,10,9,0
n/a,-,-,4,AND,2018-05-22,2018,bil_apa_timeline,,NA,NA,preventing_disputes,10,9,0
n/a,-,-,5,AND,2018-05-22,2018,bil_apa_info_available,,bp,[B.P.3],preventing_disputes,10,9,0
n/a,-,-,6,AND,2018-05-22,2018,bil_apa_fees,,NA,NA,preventing_disputes,10,9,0
n/a,-,-,7,AND,2018-05-22,2018,bil_apa_statistics,,NA,NA,preventing_disputes,10,9,0
yes,-,-,8,AND,2018-05-22,2018,training_officials,,bp,[B.P.4],preventing_disputes,10,9,1
no,-,-,9,AND,2018-05-22,2018,other_info_available,,NA,NA,preventing_disputes,10,9,NA
yes,All Andorra’s tax treaties have a ‘Mutual Agreement Procedure’ article and all of them includes article 9(2).,-,10,AND,2018-05-22,2018,access_tp,,min_std,[B.3],availability_access,10,9,1
yes,-,-,11,AND,2018-05-22,2018,access_anti_abuse_treaty,,NA,NA,availability_access,10,9,1
yes,"In theory, domestic anti-abuse provisions are dealt with based on the domestic legislation and judicial proceedings. However, the above mentioned should not restrict access to the MAP.",-,12,AND,2018-05-22,2018,access_anti_abuse_domestic,,NA,NA,availability_access,10,9,1
NA,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,13,AND,2018-05-22,2018,access_audit_settlement,,min_std_mod,[B.5],availability_access,10,9,0
NA,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,14,AND,2018-05-22,2018,access_taxpayer_adjustment,,bp,[B.P.6],availability_access,10,9,0
NA,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,15,AND,2018-05-22,2018,access_other,,NA,NA,availability_access,10,9,0
NA,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,16,AND,2018-05-22,2018,access_domestic_remedies,,NA,NA,availability_access,10,9,0
NA,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,17,AND,2018-05-22,2018,access_domestic_decision,,NA,NA,availability_access,10,9,0
no,-,-,18,AND,2018-05-22,2018,access_info_public,,min_std,[B.6],availability_access,10,9,0
yes,The Andorra’s DTAs adhere to the three-year filing deadline for a request for mutual agreement procedure as provided in article 25(1) of the OECD Model Convention.,-,19,AND,2018-05-22,2018,access_timeline,,NA,NA,availability_access,10,9,0
no,-,-,20,AND,2018-05-22,2018,guidance_multilateral_map,,bp,[B.P.7],availability_access,10,9,0
NA,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,21,AND,2018-05-22,2018,tax_collection_suspended,,bp_mod,NA,availability_access,10,9,0
NA,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,22,AND,2018-05-22,2018,access_fees,,NA,NA,availability_access,10,9,0
no,-,-,23,AND,2018-05-22,2018,access_other_info,,NA,NA,availability_access,10,9,NA
no,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,24,AND,2018-05-22,2018,resolution_timeframes,,min_std,NA,resolution,10,9,0
no,-,-,25,AND,2018-05-22,2018,map_statistics,,NA,NA,resolution,10,9,0
no,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,26,AND,2018-05-22,2018,interest_penalties,,NA,NA,resolution,10,9,0
no,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,27,AND,2018-05-22,2018,roles_public,,NA,NA,resolution,10,9,0
no,"Any of the Andorra’s tax treaties in force includes MAP arbitration. Nevertheless, tax treaties currently underway are including this mechanism for the resolution of tax treaty related disputes.",-,28,AND,2018-05-22,2018,arbitration_any_treaty,,NA,NA,resolution,10,9,0
no,-,-,29,AND,2018-05-22,2018,arbitration_constitutional_limit,,NA,NA,resolution,10,9,1
yes,-,-,30,AND,2018-05-22,2018,arbitration_treaty_policy,,NA,NA,resolution,10,9,1
no,-,-,31,AND,2018-05-22,2018,domestic_remedies_info,,bp,[B.P.10],resolution,10,9,0
n/a,-,-,32,AND,2018-05-22,2018,domestic_remedies_binding_info,,NA,NA,resolution,10,9,0
