iso3c,stage,Part_new,improvement,Recommendation,year,description
AND,stage-1,[A.1],-,Andorra should maintain its stated intention to include    the required provision in all future tax treaties.,2020,treaty_interpretation_clause
AND,stage-1,[A.2],-,-,2020,apa_roll_back
AND,stage-1,[B.1],-,Andorra should maintain its stated intention to include  Article 25(1) of the OECD Model Tax Convention as  amended in the Action 14 final report in all future tax  treaties.,2020,domestic_remedies_three_years
AND,stage-1,[B.2],"Seven of eight treaties do not contain a provision  equivalent to Article 25(1) of the OECD Model Tax  Convention as changed by the Action 14 final report,  allowing taxpayers to submit a MAP request to the  competent authority of either treaty partners. For  these treaties no documented bilateral consultation or  notification process is in place, which allows the other  competent authority concerned to provide its views on  the case when the taxpayer’s objection raised in the  MAP request is considered not to be justified.",Andorra should introduce without further delay a  documented notification and/or consultation process  and apply that process in practice for cases in which its  competent authority considered the objection raised in a  MAP request not to be justified and when the tax treaty  concerned does not contain Article 25(1) of the OECD  Model Tax Convention as amended by the Action 14  final report.,2020,request_either_ca
AND,stage-1,[B.3],-,"Andorra reported that it will give access to MAP in transfer pricing cases. Its competent authority, however, did not  receive any MAP request for such cases during the Review Period. Andorra is therefore recommended to follow its  policy and grant access to MAP in such cases.",2020,access_tp
AND,stage-1,[B.4],-,"Andorra reported it will give access to MAP in cases concerning whether the conditions for the application of a  treaty anti-abuse provision have been met or whether the application of a domestic law anti-abuse provision is in  conflict with the provisions of a treaty. Its competent authority, however, did not receive any MAP requests of this  kind from taxpayers during the Review Period. Andorra is therefore recommended to follow its policy and grant  access to MAP in such cases.",2020,access_anti_abuse
AND,stage-1,[B.5],-,"Andorra reported it will give access to MAP in cases where the tax authority and the taxpayer have entered into an  audit settlement. Its competent authority, however, did not receive any MAP requests of this kind from taxpayers  during the Review Period. Andorra is therefore recommended to follow its policy and grant access to MAP when  such cases surface.",2020,access_audit_settlement
AND,stage-1,[B.6],-,"Andorra reported it will give access to MAP in cases where taxpayers have complied with Andorra’s information and  documentation requirements for MAP requests. Its competent authority, however, did not receive any MAP requests  from taxpayers during the Review Period. Andorra is therefore recommended to follow its policy and grant access to  MAP when it receives a request that includes the required information and documentation.",2020,access_information
AND,stage-1,[B.7],-,Andorra should maintain its stated intention to include  - the required provision in all future tax treaties.,2020,double_taxation_other_than_treaty
AND,stage-1,[B.8],There is no published MAP guidance. - No MAP guidance is available on what information  taxpayers should include in their MAP request.,"Andorra should, without further delay, introduce  guidance on access to and use of the MAP and the  contact information of its competent authority as well  as the manner and form in which the taxpayer should  submit its MAP request, including the documentation  and information that should be included in such a  request. Additionally, although not required by the Action 14  Minimum Standard, in order to further improve the level  of details of its MAP guidance Andorra’s could consider  including information on: •  whether MAP is available in cases of: (i) transfer  pricing cases, (ii) the application of anti-abuse  provisions, (iii) multilateral disputes and (iv) bona fide  foreign-initiated self-adjustments •  whether taxpayers can request for the multi-year  resolution of recurring issues through MAP •  the possibility of suspension of tax collection during  the course of a MAP •  the consideration of interest and penalties in the MAP •  the steps of the process and the timing of such steps  for the implementation of MAP agreements, including  any actions to be taken by taxpayers (if any). Andorra should introduce in its MAP guidance more  detailed guidance on the manner and form in which  taxpayers should submit their MAP request. In particular,  the following items could be included: •  facts of the case •  analysis of the issue(s) requested to be resolved via  MAP •  whether the MAP request was also submitted to the  competent authority of the other treaty partner •  whether the MAP request was also submitted to  another authority under another instrument that  provides for a mechanism to resolve treaty-related  disputes •  whether the issue(s) involved were dealt with  previously •  a statement confirming that all information and  documentation provided in the MAP request is  accurate and that the taxpayer will assist the  competent authority in its resolution of the issue(s)  presented in the MAP request by furnishing any  other information or documentation required by the  competent authority in a timely manner.",2020,guidelines_on_access
AND,stage-1,[B.9],The MAP guidance is not publicly available.,"Andorra should make its MAP guidance currently in  preparation publically available and easily accessible.  Its MAP profile, published on the shared public platform,  should be updated once Andorra’s MAP guidance has  been introduced.",2020,publish_MAP_profile
AND,stage-1,[B.10],"As Andorra has not published any MAP guidance, there  is no information publicly available on whether there is  access to MAP in cases where the outcome of an audit  reflects an understanding between the auditors and the  taxpayer.","Andorra should introduce and publish its MAP guidance  without delay, stating that the conclusion of transactions  between tax authorities and taxpayers does not exclude  the opening of a MAP procedure.",2020,access_audit_settlement_in_guidelines
AND,stage-1,[C.1],-,Andorra should maintain its stated intention to include  the required provision in all future tax treaties.,2020,treaty_provision_resolution
AND,stage-1,[C.2],"MAP statistics for 2016, 2017 and 2018 were not submitted. As there were no post-2015 MAP cases to resolve it was therefore at this stage not possible to evaluate whether  Andorra’s competent authority seeks to resolve MAP cases within an average time frame of 24 months.",Andorra should report its MAP statistics in accordance  with the MAP Statistics Reporting Framework,2020,resolution_24_months
