country,start_inventory,cases_started,cases_closed,end_inventory,year,type,months,closing_ratio,portion_if_cases,iso3c
Angola,0,0,0,0,2016,all,NA,NA,NA,AGO
Argentina,5,3,2,6,2016,all,NA,NA,NA,ARG
Australia,32,22,12,42,2016,all,NA,NA,NA,AUS
Austria,195,70,38,227,2016,all,NA,NA,NA,AUT
Belgium,764,426,438,752,2016,all,NA,NA,NA,BEL
Brazil,11,4,2,13,2016,all,NA,NA,NA,BRA
Brunei Darussalam,0,0,0,0,2016,all,NA,NA,NA,BRN
Bulgaria,15,5,4,16,2016,all,NA,NA,NA,BGR
Canada,260,124,160,224,2016,all,NA,NA,NA,CAN
Chile,0,3,0,3,2016,all,NA,NA,NA,CHL
China (People’s Republic of),160,32,84,108,2016,all,NA,NA,NA,CHN
Costa Rica,2,0,2,0,2016,all,NA,NA,NA,CRI
Côte d'Ivoire,0,0,0,0,2016,all,NA,NA,NA,CIV
Croatia,10,2,0,12,2016,all,NA,NA,NA,HRV
Czech Republic,33,17,4,46,2016,all,NA,NA,NA,CZE
Denmark,172,50,44,178,2016,all,NA,NA,NA,DNK
Estonia,0,1,0,1,2016,all,NA,NA,NA,EST
Finland,98,30,19,109,2016,all,NA,NA,NA,FIN
France,844,296,303,837,2016,all,NA,NA,NA,FRA
Georgia,0,0,0,0,2016,all,NA,NA,NA,GEO
Germany,1177,353,350,1180,2016,all,NA,NA,NA,DEU
Greece,25,5,3,27,2016,all,NA,NA,NA,GRC
Guernsey,0,0,0,0,2016,all,NA,NA,NA,GGY
Haiti,0,0,0,0,2016,all,NA,NA,NA,HTI
Hong Kong (China),5,5,0,10,2016,all,NA,NA,NA,HKG
Hungary,17,4,2,19,2016,all,NA,NA,NA,HUN
Iceland,0,1,1,0,2016,all,NA,NA,NA,ISL
India,622,78,55,645,2016,all,NA,NA,NA,IND
Indonesia,62,19,32,49,2016,all,NA,NA,NA,IDN
Ireland,38,14,7,45,2016,all,NA,NA,NA,IRL
Isle of Man,0,0,0,0,2016,all,NA,NA,NA,IMN
Israel,18,10,9,19,2016,all,NA,NA,NA,ISR
Italy,308,159,29,438,2016,all,NA,NA,NA,ITA
Japan,103,36,25,114,2016,all,NA,NA,NA,JPN
Jersey,0,0,0,0,2016,all,NA,NA,NA,JEY
Korea,144,22,35,131,2016,all,NA,NA,NA,KOR
Latvia,3,2,1,4,2016,all,NA,NA,NA,LVA
Liechtenstein,11,2,3,10,2016,all,NA,NA,NA,LIE
Lithuania,2,1,0,3,2016,all,NA,NA,NA,LTU
Luxembourg,285,284,335,234,2016,all,NA,NA,NA,LUX
Macau (China),0,0,0,0,2016,all,NA,NA,NA,MAC
Malta,2,0,0,2,2016,all,NA,NA,NA,MLT
Mauritius,2,3,1,4,2016,all,NA,NA,NA,MUS
Mexico,16,10,5,21,2016,all,NA,NA,NA,MEX
Monaco,0,0,0,0,2016,all,NA,NA,NA,MCO
Netherlands,254,113,70,297,2016,all,NA,NA,NA,NLD
New Zealand,8,13,6,15,2016,all,NA,NA,NA,NZL
Norway,76,24,25,75,2016,all,NA,NA,NA,NOR
Panama,0,0,0,0,2016,all,NA,NA,NA,PAN
Papua New Guinea,0,0,0,0,2016,all,NA,NA,NA,PNG
Paraguay,0,0,0,0,2016,all,NA,NA,NA,PRY
Poland,78,28,28,78,2016,all,NA,NA,NA,POL
Portugal,52,20,11,61,2016,all,NA,NA,NA,PRT
Russian Federation,0,2,0,2,2016,all,NA,NA,NA,RUS
Seychelles,0,0,0,0,2016,all,NA,NA,NA,SYC
