indicator,value,year,host,home,type_fdi
number_entities,1,2012,AFG,MUS,total
million_USD,1.65,2012,AFG,MUS,total
number_entities,0,2013,AFG,MUS,total
million_USD,0,2013,AFG,MUS,total
number_entities,0,2014,AFG,MUS,total
million_USD,0,2014,AFG,MUS,total
number_entities,0,2015,AFG,MUS,total
million_USD,0,2015,AFG,MUS,total
number_entities,1,2016,AFG,MUS,total
million_USD,0.051424,2016,AFG,MUS,total
number_entities,2,2017,AFG,MUS,total
million_USD,0.051424,2017,AFG,MUS,total
number_entities,5,2018,AFG,MUS,total
million_USD,85.729687,2018,AFG,MUS,total
number_entities,1,2020,AFG,MUS,total
million_USD,0.051424,2020,AFG,MUS,total
number_entities,1,2012,ALB,MUS,total
million_USD,0,2012,ALB,MUS,total
number_entities,0,2013,ALB,MUS,total
million_USD,0,2013,ALB,MUS,total
number_entities,1,2014,ALB,MUS,total
million_USD,0.13,2014,ALB,MUS,total
number_entities,1,2015,ALB,MUS,total
million_USD,0.125,2015,ALB,MUS,total
number_entities,0,2016,ALB,MUS,total
million_USD,-0.001572,2016,ALB,MUS,total
number_entities,1,2017,ALB,MUS,total
million_USD,-0.001572,2017,ALB,MUS,total
number_entities,2,2018,ALB,MUS,total
million_USD,0.034551,2018,ALB,MUS,total
number_entities,1,2020,ALB,MUS,total
million_USD,-0.001572,2020,ALB,MUS,total
number_entities,6,2012,DZA,MUS,total
million_USD,38.3,2012,DZA,MUS,total
number_entities,3,2013,DZA,MUS,total
million_USD,57,2013,DZA,MUS,total
number_entities,1,2014,DZA,MUS,total
million_USD,71,2014,DZA,MUS,total
number_entities,6,2015,DZA,MUS,total
million_USD,983.055983,2015,DZA,MUS,total
number_entities,6,2016,DZA,MUS,total
million_USD,188.674563,2016,DZA,MUS,total
number_entities,7,2017,DZA,MUS,total
million_USD,189.333304,2017,DZA,MUS,total
number_entities,5,2018,DZA,MUS,total
million_USD,119.56177395,2018,DZA,MUS,total
number_entities,5,2020,DZA,MUS,total
million_USD,112.69716299334397,2020,DZA,MUS,total
number_entities,3,2012,ASM,MUS,total
million_USD,0,2012,ASM,MUS,total
number_entities,0,2013,ASM,MUS,total
million_USD,0,2013,ASM,MUS,total
number_entities,0,2014,ASM,MUS,total
million_USD,0,2014,ASM,MUS,total
number_entities,1,2015,ASM,MUS,total
million_USD,0.05,2015,ASM,MUS,total
number_entities,0,2016,ASM,MUS,total
million_USD,0,2016,ASM,MUS,total
number_entities,0,2017,ASM,MUS,total
