iso3c,number_treaties
AND,9
ARE,106
AFG,0
ATG,3
ALB,35
ARM,47
AGO,3
ARG,21
ASM,0
AUT,96
AUS,54
ABW,6
AZE,49
BIH,36
BRB,30
BGD,34
BEL,99
BFA,2
BGR,71
BHR,41
BDI,0
BEN,2
BMU,12
BRN,18
BOL,6
BRA,38
BHS,0
BTN,1
BWA,19
BLR,67
BLZ,5
CAN,99
COD,2
CAF,1
COG,4
CHE,120
CIV,11
CHL,34
CMR,6
CHN,109
COL,13
CRI,5
CUB,8
CPV,4
CUW,1
CYP,70
CZE,96
DEU,123
DJI,0
DNK,80
DMA,1
DOM,2
DZA,34
ECU,19
EST,62
EGY,54
ERI,0
ESP,96
ETH,25
FIN,82
FJI,10
FSM,0
FRO,8
FRA,132
GAB,6
GBR,135
GRD,3
GEO,54
GHA,12
GRL,7
GMB,6
GIN,3
GNQ,0
GRC,57
GTM,0
GUM,0
GNB,1
GUY,2
HKG,45
HND,0
HRV,68
HTI,0
HUN,83
IDN,81
IRL,78
ISR,61
IMN,22
IND,105
IRQ,2
IRN,51
ISL,47
ITA,108
CHI,0
JAM,15
JOR,32
JPN,82
KEN,15
KGZ,32
KHM,9
KIR,3
COM,1
KNA,4
KOR,95
KWT,69
CYM,8
KAZ,48
LAO,11
LBN,23
LCA,1
LIE,21
LKA,48
LBR,2
LSO,5
LTU,59
LUX,87
LVA,65
LBY,11
MAR,61
MCO,10
MDA,55
MNE,43
MDG,3
MHL,1
MKD,52
MLI,4
MMR,8
MNG,28
MAC,6
MNP,0
MRT,4
MLT,79
MUS,51
MDV,1
MWI,5
MEX,63
MYS,83
MOZ,9
NAM,11
NCL,1
NER,2
NGA,15
NIC,0
NLD,99
NOR,98
NPL,10
NRU,0
NZL,49
OMN,33
PAN,17
PER,8
PYF,1
PNG,10
PHL,44
PAK,67
POL,83
PRI,0
PSE,1
PRT,77
PLW,0
PRY,4
QAT,69
ROU,89
SRB,64
RUS,78
RWA,8
SAU,54
SLB,1
SYC,28
SDN,10
SWE,89
SGP,93
SVN,62
SVK,70
SLE,4
SMR,25
SEN,16
SOM,0
SUR,2
SSD,0
STP,1
SLV,1
SXM,1
SYR,28
SWZ,7
TCA,0
TCD,1
TGO,1
THA,61
TJK,29
TLS,0
TKM,37
TUN,54
TON,0
TUR,88
TTO,15
TUV,1
TZA,9
UKR,67
UGA,10
USA,70
URY,23
UZB,48
VCT,2
VEN,32
VIR,0
VNM,75
VUT,0
WSM,2
KSV,0
YEM,4
ZAF,86
ZMB,22
ZWE,16
AIA,1
ANT,0
BES,0
COK,2
GGY,26
GIB,1
JEY,30
MAF,0
MSR,2
TWN,34
VGB,9
