year,value,host,type_fdi,home,indicator
2007,NA,ALB,total,ESP,million_USD
2008,NA,ALB,total,ESP,million_USD
2009,NA,ALB,total,ESP,million_USD
2010,NA,ALB,total,ESP,million_USD
2011,NA,ALB,total,ESP,million_USD
2012,NA,ALB,total,ESP,million_USD
2013,NA,ALB,total,ESP,million_USD
2014,NA,ALB,total,ESP,million_USD
2015,NA,ALB,total,ESP,million_USD
2016,NA,ALB,total,ESP,million_USD
2017,NA,ALB,total,ESP,million_USD
2018,NA,ALB,total,ESP,million_USD
2019,NA,ALB,total,ESP,million_USD
2007,NA,AGO,total,ESP,million_USD
2008,NA,AGO,total,ESP,million_USD
2009,0.22316509474753052,AGO,total,ESP,million_USD
2010,-2.3200041362359456,AGO,total,ESP,million_USD
2011,NA,AGO,total,ESP,million_USD
2012,NA,AGO,total,ESP,million_USD
2013,NA,AGO,total,ESP,million_USD
2014,NA,AGO,total,ESP,million_USD
2015,NA,AGO,total,ESP,million_USD
2016,NA,AGO,total,ESP,million_USD
2017,NA,AGO,total,ESP,million_USD
2018,NA,AGO,total,ESP,million_USD
2019,NA,AGO,total,ESP,million_USD
2007,5610.890920852108,ARG,total,ESP,million_USD
2008,8503.948241197899,ARG,total,ESP,million_USD
2009,7219.711614906313,ARG,total,ESP,million_USD
2010,6892.334573762213,ARG,total,ESP,million_USD
2011,7228.450447791942,ARG,total,ESP,million_USD
2012,6267.624091333073,ARG,total,ESP,million_USD
2013,4675.786412022125,ARG,total,ESP,million_USD
2014,4241.16015346845,ARG,total,ESP,million_USD
2015,3810.845715503009,ARG,total,ESP,million_USD
2016,2379.1122854128917,ARG,total,ESP,million_USD
2017,4224.1241021863825,ARG,total,ESP,million_USD
2018,4063.1550604471327,ARG,total,ESP,million_USD
2019,2785.48847164818,ARG,total,ESP,million_USD
2007,NA,AZE,total,ESP,million_USD
2008,NA,AZE,total,ESP,million_USD
2009,NA,AZE,total,ESP,million_USD
2010,NA,AZE,total,ESP,million_USD
2011,NA,AZE,total,ESP,million_USD
2012,NA,AZE,total,ESP,million_USD
2013,NA,AZE,total,ESP,million_USD
2014,NA,AZE,total,ESP,million_USD
2015,NA,AZE,total,ESP,million_USD
2016,NA,AZE,total,ESP,million_USD
2017,NA,AZE,total,ESP,million_USD
2018,NA,AZE,total,ESP,million_USD
2019,NA,AZE,total,ESP,million_USD
2007,168.66482474317226,BOL,total,ESP,million_USD
2008,455.801612829688,BOL,total,ESP,million_USD
2009,299.80835697488556,BOL,total,ESP,million_USD
2010,336.9441435804159,BOL,total,ESP,million_USD
2011,162.3297986954597,BOL,total,ESP,million_USD
2012,217.81025724042766,BOL,total,ESP,million_USD
2013,166.4929045282192,BOL,total,ESP,million_USD
2014,362.8136591172376,BOL,total,ESP,million_USD
2015,330.66828211819427,BOL,total,ESP,million_USD
2016,358.23829643101067,BOL,total,ESP,million_USD
2017,134.33031407378618,BOL,total,ESP,million_USD
2018,13.651828766387215,BOL,total,ESP,million_USD
2019,37.424043632651056,BOL,total,ESP,million_USD
2007,NA,BWA,total,ESP,million_USD
2008,NA,BWA,total,ESP,million_USD
2009,NA,BWA,total,ESP,million_USD
2010,NA,BWA,total,ESP,million_USD
2011,NA,BWA,total,ESP,million_USD
2012,NA,BWA,total,ESP,million_USD
2013,NA,BWA,total,ESP,million_USD
2014,NA,BWA,total,ESP,million_USD
2015,NA,BWA,total,ESP,million_USD
2016,NA,BWA,total,ESP,million_USD
2017,NA,BWA,total,ESP,million_USD
2018,NA,BWA,total,ESP,million_USD
2019,NA,BWA,total,ESP,million_USD
2007,2727.70505103663,BRA,total,ESP,million_USD
2008,2159.303332877399,BRA,total,ESP,million_USD
2009,3301.769420244979,BRA,total,ESP,million_USD
2010,3901.849242154078,BRA,total,ESP,million_USD
2011,3589.2396306308056,BRA,total,ESP,million_USD
2012,3267.9889713723337,BRA,total,ESP,million_USD
2013,2895.5102962367773,BRA,total,ESP,million_USD
2014,2539.3369185150545,BRA,total,ESP,million_USD
