type_fdi,host,home,year,value_eurostat,indicator,value_oecd,value_spain,value_mauritius
total,ARG,AUT,2020,NA,million_USD,NA,NA,NA
total,ARG,BEL,2020,71.95838749249006,million_USD,77.310099398699,NA,NA
total,ARG,BGR,2020,0,million_USD,NA,NA,NA
total,ARG,CYP,2020,NA,million_USD,NA,NA,NA
total,ARG,CZE,2020,0,million_USD,NA,NA,NA
total,ARG,DEU,2020,0,million_USD,NA,NA,NA
total,ARG,DNK,2020,226.61181077000043,million_USD,NA,NA,NA
total,ARG,EST,2020,0,million_USD,0,NA,NA
total,ARG,ESP,2020,704.7353187756565,million_USD,757.14811633329,NA,NA
total,ARG,FIN,2020,0,million_USD,NA,NA,NA
total,ARG,HRV,2020,0,million_USD,NA,NA,NA
total,ARG,HUN,2020,0,million_USD,0,NA,NA
total,ARG,LTU,2020,0,million_USD,NA,NA,NA
total,ARG,LUX,2020,2030.8256025658304,million_USD,2181.8628052522,NA,NA
total,ARG,LVA,2020,0,million_USD,NA,NA,NA
total,ARG,MLT,2020,NA,million_USD,NA,NA,NA
total,ARG,NLD,2020,6560.77742471211,million_USD,7048.7176340655,NA,NA
total,ARG,POL,2020,0,million_USD,NA,NA,NA
total,ARG,PRT,2020,0,million_USD,0,NA,NA
total,ARG,ROU,2020,0,million_USD,NA,NA,NA
total,ARG,SWE,2020,NA,million_USD,NA,NA,NA
total,ARG,SVN,2020,0,million_USD,NA,NA,NA
total,ARG,SVK,2020,0,million_USD,NA,NA,NA
total,BRA,AUT,2020,NA,million_USD,NA,NA,NA
total,BRA,BEL,2020,528.8370382384587,million_USD,568.16787335869,NA,NA
total,BRA,BGR,2020,0,million_USD,NA,NA,NA
total,BRA,CYP,2020,NA,million_USD,NA,NA,NA
total,BRA,CZE,2020,0,million_USD,NA,NA,NA
total,BRA,DEU,2020,0,million_USD,NA,NA,NA
total,BRA,DNK,2020,0,million_USD,NA,NA,NA
total,BRA,EST,2020,0,million_USD,0,NA,NA
total,BRA,ESP,2020,2067.375894625508,million_USD,2221.131427169,NA,NA
total,BRA,FIN,2020,0,million_USD,NA,NA,NA
total,BRA,HRV,2020,0,million_USD,NA,NA,NA
total,BRA,HUN,2020,0,million_USD,0,NA,NA
total,BRA,IRL,2020,NA,million_USD,NA,NA,NA
total,BRA,LTU,2020,0,million_USD,NA,NA,NA
total,BRA,LUX,2020,38349.25174698974,million_USD,41201.374401767,NA,NA
total,BRA,LVA,2020,0,million_USD,NA,NA,NA
total,BRA,MLT,2020,NA,million_USD,NA,NA,NA
total,BRA,NLD,2020,57148.666028559484,million_USD,61398.944655786,NA,NA
total,BRA,POL,2020,0,million_USD,NA,NA,NA
total,BRA,PRT,2020,15.191215137303457,million_USD,15.9528776537,NA,NA
total,BRA,ROU,2020,0,million_USD,NA,NA,NA
total,BRA,SWE,2020,NA,million_USD,NA,NA,NA
total,BRA,SVN,2020,0,million_USD,NA,NA,NA
total,BRA,SVK,2020,0,million_USD,NA,NA,NA
total,EGY,AUT,2020,NA,million_USD,NA,NA,NA
total,EGY,BEL,2020,748.1387905965236,million_USD,803.77960485949,NA,NA
total,EGY,BGR,2020,0,million_USD,NA,NA,NA
total,EGY,CYP,2020,NA,million_USD,NA,NA,NA
total,EGY,CZE,2020,0,million_USD,NA,NA,NA
total,EGY,DEU,2020,0,million_USD,NA,NA,NA
total,EGY,DNK,2020,0,million_USD,NA,NA,NA
total,EGY,EST,2020,0,million_USD,0,NA,NA
total,EGY,ESP,2020,NA,million_USD,NA,NA,NA
total,EGY,FIN,2020,0,million_USD,NA,NA,NA
total,EGY,HRV,2020,0,million_USD,NA,NA,NA
total,EGY,HUN,2020,0,million_USD,0,NA,NA
total,EGY,IRL,2020,NA,million_USD,NA,NA,NA
total,EGY,LTU,2020,0,million_USD,NA,NA,NA
total,EGY,LUX,2020,319.81505552217806,million_USD,343.600441772,NA,NA
total,EGY,LVA,2020,0,million_USD,NA,NA,NA
total,EGY,MLT,2020,NA,million_USD,NA,NA,NA
total,EGY,NLD,2020,1431.1723734617467,million_USD,1537.6119769297,NA,NA
total,EGY,POL,2020,0,million_USD,NA,NA,NA
total,EGY,PRT,2020,0,million_USD,0,NA,NA
total,EGY,ROU,2020,0,million_USD,NA,NA,NA
total,EGY,SWE,2020,0,million_USD,NA,NA,NA
total,EGY,SVN,2020,0,million_USD,NA,NA,NA
total,EGY,SVK,2020,0,million_USD,NA,NA,NA
total,IDN,AUT,2020,NA,million_USD,NA,NA,NA
total,IDN,BEL,2020,7.995376388054451,million_USD,8.5900110442999,NA,NA
total,IDN,BGR,2020,0,million_USD,NA,NA,NA
total,IDN,CYP,2020,NA,million_USD,NA,NA,NA
total,IDN,CZE,2020,0,million_USD,NA,NA,NA
total,IDN,DEU,2020,0,million_USD,NA,NA,NA
total,IDN,DNK,2020,438.26084572807036,million_USD,NA,NA,NA
total,IDN,EST,2020,0,million_USD,0,NA,NA
total,IDN,ESP,2020,NA,million_USD,NA,NA,NA
total,IDN,FIN,2020,0,million_USD,NA,NA,NA
total,IDN,HRV,2020,0,million_USD,NA,NA,NA
total,IDN,HUN,2020,0,million_USD,0,NA,NA
total,IDN,LTU,2020,0,million_USD,NA,NA,NA
total,IDN,LUX,2020,403.1954092833173,million_USD,433.1819855197,NA,NA
total,IDN,LVA,2020,0,million_USD,NA,NA,NA
total,IDN,MLT,2020,NA,million_USD,NA,NA,NA
total,IDN,NLD,2020,11065.60092106736,million_USD,11888.575285311,NA,NA
total,IDN,POL,2020,0,million_USD,NA,NA,NA
total,IDN,PRT,2020,0,million_USD,0,NA,NA
total,IDN,ROU,2020,0,million_USD,NA,NA,NA
total,IDN,SWE,2020,0,million_USD,NA,NA,NA
total,IDN,SVN,2020,0,million_USD,NA,NA,NA
total,IDN,SVK,2020,0,million_USD,NA,NA,NA
total,IND,AUT,2020,NA,million_USD,NA,NA,NA
total,IND,BEL,2020,397.48442614899267,million_USD,427.0462633452,NA,NA
total,IND,BGR,2020,0,million_USD,NA,NA,NA
total,IND,CYP,2020,NA,million_USD,NA,NA,NA
total,IND,CZE,2020,0,million_USD,NA,NA,NA
total,IND,DEU,2020,0,million_USD,NA,NA,NA
total,IND,DNK,2020,28.897574659682515,million_USD,NA,NA,NA
total,IND,EST,2020,0,million_USD,0,NA,NA
total,IND,ESP,2020,NA,million_USD,NA,NA,NA
total,IND,FIN,2020,0,million_USD,NA,NA,NA
total,IND,HRV,2020,0,million_USD,NA,NA,NA
