year,iso3c,div_wth,int_wth,roy_wth,ser_wth,cap_wth,div_rec,int_rec,roy_rec,ser_rec,cap_rec,regime,nexus
2011,ABW,0,NA,NA,NA,NA,0,0,0,0,0,special tax regimes for certain companies,NA
2012,ABW,0,NA,NA,NA,NA,0,0,0,0,0,special tax regimes for certain companies,NA
2013,ABW,0,NA,NA,NA,NA,0,0,0,0,0,special tax regimes for certain companies,NA
2014,ABW,0,NA,NA,NA,NA,0,0,0,0,0,special tax regimes for certain companies,NA
2015,ABW,0,NA,NA,NA,NA,0,0,0,0,0,special tax regimes for certain companies,NA
2016,ABW,0,NA,NA,NA,NA,0,0,0,0,0,special tax regimes for certain companies,NA
2017,ABW,0,NA,NA,NA,NA,0,0,0,0,0,special tax regimes for certain companies,NA
2018,ABW,0,NA,NA,NA,NA,0,0,0,0,0,special tax regimes for certain companies,NA
2019,ABW,0,NA,NA,NA,NA,0,0,0,0,0,special tax regimes for certain companies,NA
2020,ABW,0,NA,NA,NA,NA,0,0,0,0,0,special tax regimes for certain companies,NA
2021,ABW,0,NA,NA,NA,NA,0,0,0,0,0,special tax regimes for certain companies,NA
2018,ALB,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,tax incentives,NA
2019,ALB,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,tax incentives,NA
2020,ALB,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,tax incentives,NA
2021,ALB,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,tax incentives,NA
2004,ANT,NA,NA,NA,NA,NA,2,2,2,2,2,tax incentives,NA
2005,ANT,NA,NA,NA,NA,NA,2,2,2,2,2,tax incentives,NA
2006,ANT,NA,NA,NA,NA,NA,2,2,2,2,2,tax incentives,NA
2007,ANT,NA,NA,NA,NA,NA,2,2,2,2,2,tax incentives,NA
2008,ANT,NA,NA,NA,NA,NA,2,2,2,2,2,tax incentives,NA
2009,ANT,NA,NA,NA,NA,NA,2,2,2,2,2,tax incentives,NA
2010,ANT,NA,NA,NA,NA,NA,2,2,2,2,2,tax incentives,NA
2006,AUS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,foreign conduit income,NA
2007,AUS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,foreign conduit income,NA
2008,AUS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,foreign conduit income,NA
