TREATYID,REFERENCE,C1LONG,C2LONG,TYPE,SIGNED,EFFECTIVE,STATUS,C1CODE,C1INCOME,C1REGION,C2CODE,C2INCOME,C2REGION,SOURCE,WHTRATES,PE,OTHER,UN,5i,5ii,5iii,5iv,5v,5vi,5vii,5viii,7i,7ii,8i,10i,10ii,10iii,11i,11ii,12i,12ia,12ib,12iv,13i,13ii,14i,16i,21i,25i,27i,29i,paircode,Termination,superseded,ended
254,NA,Australia,Kiribati,Original,1991,1991,In Force,AUS,High income,East Asia & Pacific,KIR,Lower middle income,East Asia & Pacific,0.56,0.56,0.48,0.63,0.53,3,YES,3,YES,YES,YES,NO,NO,YES,NO,YES,20,NA,20,10,10,15,15,15,0,YES,NO,YES,NO,YES,NO,NO,NA,AUS - KIR,NA,NA,NA
272,NA,Australia,Papua New Guinea,Original,1989,1990,In Force,AUS,High income,East Asia & Pacific,PNG,Lower middle income,East Asia & Pacific,0.49,0.5,0.48,0.5,0.47,3,YES,3,YES,YES,YES,NO,NO,YES,NO,NO,20,NA,20,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA,AUS - PNG,NA,NA,NA
273,NA,Australia,Philippines,Original,1979,1980,In Force,AUS,High income,East Asia & Pacific,PHL,Lower middle income,East Asia & Pacific,0.51,0.66,0.59,0.29,0.44,6,YES,6,YES,YES,YES,NO,YES,YES,NO,NO,15,NA,25,15,15,25,25,25,0,NO,NO,YES,NO,NA,NO,NO,NA,AUS - PHL,NA,NA,NA
284,NA,Australia,Sri Lanka,Original,1989,1992,In Force,AUS,High income,East Asia & Pacific,LKA,Upper middle income,South Asia,0.68,0.44,0.72,0.88,0.76,6,YES,6,NO,NO,YES,NO,NO,YES,YES,YES,15,NA,15,10,10,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA,AUS - LKA,NA,NA,NA
298,NA,Australia,Vietnam,Original,1992,1993,Superseded,AUS,High income,East Asia & Pacific,VNM,Lower middle income,East Asia & Pacific,0.32,0.38,0.22,0.38,0.29,6,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,10,NA,10,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA,AUS - VNM,NA,1992,1992
389,NA,Austria,Mongolia,Original,2003,2005,In Force,AUT,High income,Europe & Central Asia,MNG,Lower middle income,East Asia & Pacific,0.16,0.28,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,10,10,10,10,5,10,0,0,NO,NO,YES,NO,NO,YES,NO,NA,AUT - MNG,NA,NA,NA
392,NA,Austria,Nepal,Original,2000,2002,In Force,AUT,High income,Europe & Central Asia,NPL,Low income,South Asia,0.5,0.41,0.72,0.38,0.53,6,YES,6,YES,YES,YES,YES,YES,NO,YES,NO,5,25,15,15,10,15,15,0,0,NO,NO,YES,NO,YES,NO,NO,NA,AUT - NPL,NA,NA,NA
400,NA,Austria,Pakistan,Original,1970,1968,Terminated,AUT,High income,Europe & Central Asia,PAK,Lower middle income,South Asia,0.29,0.69,0.19,0,0.06,12,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,10,25,NO LIMIT,NO LIMIT,NO LIMIT,20,20,20,0,NO,NO,NO,NO,NA,NO,NO,NA,AUT - PAK,2007,NA,2007
402,NA,Austria,Pakistan,Original,2005,2008,Superseded,AUT,High income,Europe & Central Asia,PAK,Lower middle income,South Asia,0.77,0.59,0.72,1,0.88,6,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,10,20,15,15,15,10,10,10,10,YES,YES,YES,YES,YES,NO,NO,NA,AUT - PAK,NA,2020,2020
404,NA,Austria,Philippines,Original,1981,1983,In Force,AUT,High income,Europe & Central Asia,PHL,Lower middle income,East Asia & Pacific,0.59,0.56,0.59,0.63,0.59,6,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,10,10,25,15,15,15,15,15,0,YES,NO,YES,NO,NO,NO,NO,NA,AUT - PHL,NA,NA,NA
