ctry1,ctry2,name,Status,Conclusion,Entry,Effective,Termination,ctry1_iso,ctry2_iso,paircode
Canada,New Zealand,Income Tax Treaty(1980),Status: Terminated,1980,1981,1976,2016,CAN,NZL,CAN - NZL
Canada,Tajikistan,Income Tax Treaty(1985),Status: Terminated,1985,1986,1987,NA,CAN,TJK,CAN - TJK
Canada,Uzbekistan,Income Tax Treaty(1985),Status: Terminated,1985,1986,1987,NA,CAN,UZB,CAN - UZB
China (People's Rep.),Croatia,Income and Capital Tax Treaty(1988),Status: Terminated,1988,1989,1990,2002,CHN,HRV,CHN - HRV
China (People's Rep.),Czech Republic,Income Tax Treaty(1987),Status: Terminated,1987,1987,1988,2012,CHN,CZE,CHN - CZE
China (People's Rep.),Denmark,Income Tax Treaty(1986),Status: Terminated,1986,1986,1987,2013,CHN,DNK,CHN - DNK
China (People's Rep.),Finland,Income Tax Treaty(1986),Status: Terminated,1986,1987,1988,2011,CHN,FIN,CHN - FIN
China (People's Rep.),France,Income Tax Treaty(1984),Status: Terminated,1984,1985,1986,2015,CHN,FRA,CHN - FRA
China (People's Rep.),Germany,Income and Capital Tax Treaty(1985),Status: Terminated,1985,1986,1985,2017,CHN,DEU,CHN - DEU
China (People's Rep.),Hong Kong,Income Tax Treaty(1998),Status: Terminated,1998,1998,1998,2007,CHN,HKG,CHN - HKG
China (People's Rep.),Malta,Income Tax Treaty(1993),Status: Terminated,1993,1994,1995,2012,CHN,MLT,CHN - MLT
China (People's Rep.),Netherlands,Income Tax Treaty(1987),Status: Terminated,1987,1988,1989,2015,CHN,NLD,CHN - NLD
China (People's Rep.),New Zealand,Income Tax Treaty(1986),Status: Terminated,1986,1986,1987,2020,CHN,NZL,CHN - NZL
China (People's Rep.),Romania,Income Tax Treaty(1991),Status: Terminated,1991,1992,1993,2018,CHN,ROU,CHN - ROU
China (People's Rep.),Russia,Income Tax Treaty(1994),Status: Terminated,1994,1997,1998,2017,CHN,RUS,CHN - RUS
China (People's Rep.),Serbia and Montenegro,Income and Capital Tax Treaty(1988),Status: Terminated,1988,1989,1990,1998,CHN,NA,CHN - NA
China (People's Rep.),Singapore,Income Tax Treaty(1986),Status: Terminated,1986,1986,1986,2008,CHN,SGP,CHN - SGP
China (People's Rep.),Slovenia,Income and Capital Tax Treaty(1988),Status: Terminated,1988,1989,1990,1996,CHN,SVN,CHN - SVN
China (People's Rep.),Switzerland,Income and Capital Tax Treaty(1990),Status: Terminated,1990,1991,1990,2015,CHN,CHE,CHN - CHE
China (People's Rep.),United Kingdom,Income Tax Treaty(1984),Status: Terminated,1984,1984,1985,2014,CHN,GBR,CHN - GBR
China (People's Rep.),Macedonia (FYR),Income and Capital Tax Treaty(1988),Status: Terminated,1988,1989,1990,1998,CHN,MKD,CHN - MKD
Cyprus,India,Income and Capital Tax Treaty(1994),Status: Terminated,1994,1994,1993,2017,CYP,IND,CYP - IND
Cyprus,Kazakhstan,Income and Capital Tax Treaty(1982),Status: Terminated,1982,1983,1983,NA,CYP,KAZ,CYP - KAZ
Czech Republic,India,Income Tax Treaty(1986),Status: Terminated,1986,1987,1985,2000,CZE,IND,CZE - IND
Czech Republic,Korea (Rep.),Income Tax Treaty(1992),Status: Terminated,1992,1995,1995,2020,CZE,KOR,CZE - KOR
Austria,Israel,Income and Capital Tax Treaty(1970),Status: Terminated,1970,1971,1968,2019,AUT,ISR,AUT - ISR
Bahrain,Egypt,Income Tax Treaty(1997),Status: Terminated,1997,1999,2000,2019,BHR,EGY,BHR - EGY
Canada,Israel,Income and Capital Tax Treaty(1975),Status: Terminated,1975,1976,1976,2017,CAN,ISR,CAN - ISR
Cyprus,Egypt,Income Tax Treaty(1993),Status: Terminated,1993,1995,1996,2021,CYP,EGY,CYP - EGY
Cyprus,Kuwait,Income and Capital Tax Treaty(1984),Status: Terminated,1984,1986,1986,2014,CYP,KWT,CYP - KWT
